src_ip,src_mac,dst_mac,status,timestamp
192.168.1.103,00:14:c2:54:03:3f,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:43
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:43
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:43
192.168.1.103,00:14:c2:54:03:3f,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:43
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:44
192.168.1.103,00:14:c2:54:03:3f,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:44
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:45
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:45
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:46
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:46
34.164.192.168,ac:22:0b:2d:22:a4,c0:25:2f:b7:f8:a3,OK,2023-07-18 13:33:46
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:47
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:47
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:48
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:48
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:48
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:49
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:49
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:49
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:49
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:50
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:50
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:50
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:51
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:51
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:51
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:51
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:00:00:01,OK,2023-07-18 13:33:52
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:52
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:52
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:52
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:53
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:53
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:53
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:53
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:53
192.168.1.100,b0:6e:bf:73:11:82,01:00:5e:00:00:fb,OK,2023-07-18 13:33:54
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:54
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:54
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:54
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:55
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:55
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:55
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:55
192.168.1.108,62:c7:31:d3:af:bf,01:00:5e:00:00:fb,OK,2023-07-18 13:33:56
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fb,OK,2023-07-18 13:33:56
0.0.0.0,00:14:c2:54:03:3f,33:33:00:00:00:fb,OK,2023-07-18 13:33:56
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:56
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:57
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:57
